"","d.especific","d.trazabilidad","d.problemas","d.mejoracont","d.gesproydis","dnorm.calidad","d.rotacion","part.personal","depto.id","prop.prof","prop.tec","capacit.jer","capacit.nojer","dvinc.firmas","dvinc.pub","d.evaldes","dcap.func","difu.bpracticas","d.basedatos","d.estimul"
"prop.tec",0.157538775477618,0.159493044041858,0.202854807196197,0.233656126568308,0.282279735590456,0.229977916155041,0.0916186221992037,0.129376053530695,0.276497666018106,0.314330872159434,1,0.242747578849212,0.218493217629082,0.174995456440967,0.233627048247736,0.216311017958606,0.21723103750763,0.195997633930751,0.176223239160757,0.220661868047191
"capacit.jer",0.187392867074624,0.191287555302752,0.225693888063342,0.348490823040742,0.284468578169148,0.271615855660172,0.102666762570058,0.230925138850818,0.264042022994256,0.168789823518192,0.242747578849212,1,0.739697990376597,0.222503314954212,0.297794019501403,0.37178015234153,0.413393270255036,0.299310322830246,0.18435820732656,0.289664268139448
"capacit.nojer",0.158880498146285,0.167275505619608,0.198642478960321,0.288745969699371,0.228846926931704,0.247671145010594,0.100163500627419,0.175528534207096,0.205770676746354,0.126162864141741,0.218493217629082,0.739697990376597,1,0.185179757737048,0.258452208114138,0.313474802583244,0.401684781724954,0.256680296450632,0.14663265022607,0.240790030252715
"dvinc.firmas",0.171538795009276,0.17860729078485,0.195513525065742,0.201914334772181,0.220683897614139,0.194849367310588,0.135192312653664,0.162707475233406,0.233240142325776,0.111041841540005,0.174995456440967,0.222503314954212,0.185179757737048,1,0.287099834379324,0.194629585752445,0.266325703680182,0.198475724658708,0.15019649512394,0.223268734499826
"dvinc.pub",0.200002160538997,0.216939216631377,0.228865280602166,0.304790807736717,0.296911916173602,0.27762272414646,0.125885299203304,0.17085879966336,0.313277597495671,0.157250322486155,0.233627048247736,0.297794019501403,0.258452208114138,0.287099834379324,1,0.25807709981762,0.270354285590407,0.215329780648811,0.203305076350562,0.215912853566889
"d.evaldes",0.230043975334775,0.229138036630495,0.268409001919905,0.333244600918751,0.279153626072516,0.31616747034339,0.113188466777863,0.242983636955416,0.255040299808499,0.133980227648615,0.216311017958606,0.37178015234153,0.313474802583244,0.194629585752445,0.25807709981762,1,0.408627689576605,0.282268395324864,0.214226640976112,0.304732357433375
"dcap.func",0.232348114293905,0.253029871252889,0.280578912966684,0.37329306980989,0.303113143636971,0.339158890996204,0.129374607813988,0.20453803147302,0.253918828283733,0.140456784952805,0.21723103750763,0.413393270255036,0.401684781724954,0.266325703680182,0.270354285590407,0.408627689576605,1,0.274910367978102,0.207277827491421,0.255057318090827
"difu.bpracticas",0.176894877304397,0.177752012541013,0.257022577908468,0.31301407176522,0.249035259390961,0.225635175823449,0.116220694482689,0.268793660027552,0.218105077960204,0.118308942896481,0.195997633930751,0.299310322830246,0.256680296450632,0.198475724658708,0.215329780648811,0.282268395324864,0.274910367978102,1,0.229993842464644,0.486377839550252
"d.basedatos",0.161264470992779,0.179880385644888,0.230497020858842,0.266544644998099,0.263946871631627,0.197543237274307,0.0948081884723104,0.146510999560118,0.198407436068168,0.154195925490632,0.176223239160757,0.18435820732656,0.14663265022607,0.15019649512394,0.203305076350562,0.214226640976112,0.207277827491421,0.229993842464644,1,0.200220682222787
"d.estimul",0.172103384628563,0.178909079890531,0.227323269091735,0.276024572721283,0.246794453097403,0.215089813867777,0.101911515828613,0.291391153196314,0.248229346283246,0.150832295640781,0.220661868047191,0.289664268139448,0.240790030252715,0.223268734499826,0.215912853566889,0.304732357433375,0.255057318090827,0.486377839550252,0.200220682222787,1
